精简文本数据_标准化 目录 清理报告 (仅删除展览/活动预告)
------------------------------------------------------------
来源文件 | ID | 活动标题
------------------------------------------------------------
File: merged_1.md | ID: ID_0005 | Title: “杨涵木刻展”即将开展！（2013.09.13—2013.09.22）
File: merged_1.md | ID: ID_0017 | Title: “时·区 —— 当代高校青年教师的创作与探索”即将开展
File: merged_1.md | ID: ID_0033 | Title: “弗朗西斯·培根中国首展”作品抢先看！（ 2013.12.02 15:00开幕）
File: merged_2.md | ID: ID_0061 | Title: 【讲座预告】从色彩到渐变色环——论马奈
File: merged_2.md | ID: ID_0062 | Title: 【公教预告】“非常体验”——丝网印刷工作坊
File: merged_2.md | ID: ID_0067 | Title: 【讲座预告】身体博物馆：厉槟源谈自身创作
File: merged_2.md | ID: ID_0074 | Title: 【公教预告】定格的记忆
File: merged_2.md | ID: ID_0075 | Title: 【公教预告】微观的神奇世界
File: merged_2.md | ID: ID_0081 | Title: 【公教预告】小小泥塑家
File: merged_2.md | ID: ID_0086 | Title: 【展览预告】自然之名——风景画与山水画邀请展
File: merged_2.md | ID: ID_0087 | Title: 【展览预告】零方案第九回  “寸光阴：倪有鱼个人项目”
File: merged_2.md | ID: ID_0089 | Title: 【展览预告】零方案 第九回：“寸光阴”倪有鱼个人项目
File: merged_2.md | ID: ID_0090 | Title: 【讲座预告】“自然之名——风景画与山水画邀请展”系列讲座
File: merged_2.md | ID: ID_0091 | Title: 【公教预告】青年文化艺术沙龙：古着Party
File: merged_2.md | ID: ID_0101 | Title: 【项目预告】可动恰恰：一点音乐和艺术的游戏！
File: merged_2.md | ID: ID_0104 | Title: 【讲座预告】David Clark : 玩乐之地
File: merged_2.md | ID: ID_0105 | Title: 【公教预告】赴一场名为“复古”的盛宴
File: merged_2.md | ID: ID_0106 | Title: 【展览预告】年度大展：“L.S.洛瑞：艺术家·人民”
File: merged_2.md | ID: ID_0107 | Title: 【展览预告】影像档案 第七回：《白沫》
File: merged_2.md | ID: ID_0108 | Title: 【公教预告】“复调II”：奇遇泥塑
File: merged_2.md | ID: ID_0110 | Title: 【展览预告】周京新画展
File: merged_2.md | ID: ID_0115 | Title: 【展览预告】“或此或彼”——洪磊2014作品展
File: merged_2.md | ID: ID_0116 | Title: 【展览预告】英国人民最喜爱的艺术家L.S.洛瑞中国首展即将亮相我馆
File: merged_2.md | ID: ID_0117 | Title: 【展览预告】周京新画展
File: merged_2.md | ID: ID_0121 | Title: 【展览预告】L.S.洛瑞：艺术家•人民
File: merged_2.md | ID: ID_0122 | Title: 【展览预告】“或此或彼”——洪磊2014作品展
File: merged_2.md | ID: ID_0125 | Title: 【公教预告】“复调II”：最后的狂欢
File: merged_2.md | ID: ID_0128 | Title: 【学术预告】当代艺术家影像志《隐秘的线索：洪磊》明日首映
File: merged_2.md | ID: ID_0131 | Title: 【讲座预告】Laurent-Max De Cock：心手之间
File: merged_2.md | ID: ID_0136 | Title: 【展览预告】邱志杰：《南京长江大桥自杀干预计划（五）——齐物》
File: merged_2.md | ID: ID_0137 | Title: 【展览预告】高山流水——中国山水画展
File: merged_2.md | ID: ID_0139 | Title: 【展览预告】当代艺术家邱志杰携 《南京长江大桥自杀干预计划（五）——齐物》来宁！
File: merged_2.md | ID: ID_0140 | Title: 【展览预告】“高山流水——中国山水画展” 策展人语
File: merged_2.md | ID: ID_0144 | Title: 【展览预告】邱志杰谈“齐物”
File: merged_2.md | ID: ID_0147 | Title: 【公教预告】非常体验：拼布工作坊
File: merged_2.md | ID: ID_0150 | Title: 【讲座预告】洪磊：摄影的观看
File: merged_2.md | ID: ID_0151 | Title: 【公教预告】喜物会
File: merged_2.md | ID: ID_0162 | Title: 【公教预告】怡心工坊：“心灵SPA” 系列工作坊
File: merged_2.md | ID: ID_0164 | Title: 【公教预告】遇见二次元：《我为歌狂》&amp;《十万个冷笑话》导演强强来袭
File: merged_2.md | ID: ID_0165 | Title: 【开幕倒计时：1天】《L.S.洛瑞：艺术家·人民》作品抢先看
File: merged_2.md | ID: ID_0187 | Title: 【公教预告】讲座：工业革命背景下的英国文学创作
File: merged_2.md | ID: ID_0189 | Title: 【活动预告】当代剧场青年邀请周
File: merged_2.md | ID: ID_0192 | Title: 【展览预告】AMNUA国际计划——外包|内销
File: merged_2.md | ID: ID_0196 | Title: 【公教预告】少儿活动：“洛瑞”工厂环境大改造
File: merged_2.md | ID: ID_0199 | Title: 【展览预告】2014中国实验艺术委员会年会暨南京艺术学院实验艺术展
File: merged_2.md | ID: ID_0200 | Title: 【讲座预告】南京艺术学院实验艺术教学系列讲座
File: merged_2.md | ID: ID_0203 | Title: 【展览预告】AMNUA外包内销：勇敢者的游戏？
File: merged_2.md | ID: ID_0205 | Title: 【活动预告】中国独立动画电影论坛 · 南京站（2014.12.17—2014.12.18）
File: merged_2.md | ID: ID_0206 | Title: 【讲座预告】《唐顿庄园》中的英国贵族史（2014.12.12）
File: merged_2.md | ID: ID_0221 | Title: 【AMNUA预告】《朱伟2014—2015跨年展》平安夜南艺美术馆开幕
File: merged_2.md | ID: ID_0226 | Title: 展览预告 #  郑闻致朱伟：《两个梦和一个艺术家的平安夜礼物》
File: merged_2.md | ID: ID_0231 | Title: 【AMNUA公教】预告：拼布工作坊（2014.12.27）
File: merged_2.md | ID: ID_0246 | Title: 【活动预告】漫画讲座：逆柱在南京
File: merged_2.md | ID: ID_0247 | Title: 【讲座预告】陆蓉之：从伟大到萌——艺术的回响与未来
File: merged_2.md | ID: ID_0268 | Title: 讲座预告 | 杜拉斯文本中的东方幽灵
File: merged_2.md | ID: ID_0273 | Title: AMNUA讲座预告丨关注声音
File: merged_2.md | ID: ID_0275 | Title: 展览预告丨孟语乐：关注色彩
File: merged_2.md | ID: ID_0276 | Title: AMNUA公教预告丨缪斯女神的花园（需报名）
File: merged_2.md | ID: ID_0277 | Title: AMNUA讲座预告丨孟语乐：关注色彩
File: merged_2.md | ID: ID_0278 | Title: 讲座预告丨《格雷的五十度灰》的文学解码
File: merged_2.md | ID: ID_0279 | Title: AMNUA展览预告丨乔-彼得·威金摄影展
File: merged_2.md | ID: ID_0352 | Title: AMNUA毕业展丨南艺美术学院毕业展2015.05.159:50开幕，老师寄语+作品抢先看
File: merged_2.md | ID: ID_0367 | Title: AMNUA毕业展丨服设毕业作品抢先看（一）
File: merged_2.md | ID: ID_0369 | Title: AMNUA毕业展 | 服设毕业作品抢先看（二）+服装秀邀请函大放送
File: merged_3.md | ID: ID_0407 | Title: 【展览预告】曾经沧海 ——南京艺术学院藏刘海粟作品陈列展
File: merged_3.md | ID: ID_0427 | Title: 【曾经沧海】刘海粟陈列展油画作品抢先看
File: merged_3.md | ID: ID_0444 | Title: 【展览预告】天空SKY——国际影像展（2014.05.06—2014.05.23）
File: merged_4.md | ID: ID_0475 | Title: 【展览预告】游园——陆诚个展
