Source,Target,Relation
PERSON_陈健,ID_0002,策划
PERSON_陈瑞,ID_0002,策划
PERSON_李小山,ID_0002,指导
PERSON_陈健,ID_0002,指导
PERSON_张正民,ID_0002,参与
PERSON_靳卫红,ID_0002,参与
PERSON_郑闻,ID_0003,策划
PERSON_王亚敏,ID_0006,策划
PERSON_李小山,ID_0006,指导
PERSON_王泓人/栙魂,ID_0008,参与
PERSON_旅游达人何谦,ID_0008,参与
PERSON_南京电视台十八频道标点旅游节目主持人周靖,ID_0008,参与
PERSON_王亚敏,ID_0010,策划
PERSON_李小山,ID_0010,指导
PERSON_安可·弗西滕贝格教授,ID_0011,参与
PERSON_沙夏·霍姆,ID_0011,参与
PERSON_尤日·戈登和胡晓江等“特别漫画”成员,ID_0011,参与
PERSON_李小山,ID_0012,策划
PERSON_陈,ID_0012,关联
PERSON_瑞,ID_0012,关联
PERSON_郑闻,ID_0013,策划
PERSON_张小迪,ID_0013,参与
PERSON_张小迪,ID_0013,参与
PERSON_李小山,ID_0014,策划
PERSON_陈,ID_0014,关联
PERSON_瑞,ID_0014,关联
PERSON_郑闻,ID_0016,策划
PERSON_张小迪,ID_0016,参与
PERSON_郑闻学,ID_0017,策划
PERSON_郑闻,ID_0017,策划
PERSON_敖国兴,ID_0017,参与
PERSON_罗丹,ID_0017,参与
PERSON_裴丽,ID_0017,参与
PERSON_沈朝方,ID_0017,参与
PERSON_陶大珉,ID_0017,参与
PERSON_熊莉钧,ID_0017,参与
PERSON_汪莺莺,ID_0017,参与
PERSON_陈献辉,ID_0017,参与
PERSON_李青,ID_0017,参与
PERSON_梁昊鹏,ID_0017,参与
PERSON_韩建宇,ID_0017,参与
PERSON_吴俊勇,ID_0017,参与
PERSON_秦晋,ID_0017,参与
PERSON_靳山,ID_0017,参与
PERSON_高昊,ID_0017,参与
PERSON_何玲,ID_0017,参与
PERSON_康海涛,ID_0017,参与
PERSON_宋振,ID_0017,参与
PERSON_阎盈汐,ID_0017,参与
PERSON_王郁洋,ID_0017,参与
PERSON_周先锋,ID_0017,参与
PERSON_丛伟,ID_0017,参与
PERSON_冯且,ID_0017,参与
PERSON_和丽斌,ID_0017,参与
PERSON_邬建安,ID_0017,参与
PERSON_王超,ID_0017,参与
PERSON_吴超,ID_0017,参与
