ID,Label,Type
ID_0001,Welcome to AMNUA,活动
ID_0002,“水墨档案 第一回——中韩当代水墨邀请展”今日开展,活动
PERSON_陈健,陈健,人物
PERSON_陈瑞,陈瑞,人物
PERSON_李小山,李小山,人物
PERSON_张正民,张正民,人物
PERSON_靳卫红,靳卫红,人物
ID_0003,影像档案 第二回：陆扬MV——善恶彼岸的影像,活动
PERSON_郑闻,郑闻,人物
ID_0004,零方案 第四回：剩余物nán jīng（2013.09.08—2013.09.27）,活动
ID_0005,“杨涵木刻展”即将开展！（2013.09.13—2013.09.22）,活动
ID_0006,“伟大的素描·与大师同行”（2013.09.18—2013.11.20）&amp;“素描·表达与限度”（2013.09.18—2013.10.10）,活动
PERSON_王亚敏,王亚敏,人物
ID_0007,陆扬：《子宫战士》首映暨新书发布,活动
ID_0008,青年文化艺术沙龙： “再不远行就老了“——南京女孩王泓人21个月穷游亚非27国,活动
PERSON_王泓人/栙魂,王泓人/栙魂,人物
PERSON_旅游达人何谦,旅游达人何谦,人物
PERSON_南京电视台十八频道标点旅游节目主持人周靖,南京电视台十八频道标点旅游节目主持人周靖,人物
ID_0009,漫出格——中德漫画交流展,活动
ID_0010,“伟大的素描·与大师同行”（2013.09.18—2013.11.20）&amp;“素描·表达与限度”（2013.09.18—2013.10.19）,活动
ID_0011,“漫出格——中德漫画交流展”学术延伸活动,活动
PERSON_安可·弗西滕贝格教授,安可·弗西滕贝格教授,人物
PERSON_沙夏·霍姆,沙夏·霍姆,人物
PERSON_尤日·戈登和胡晓江等“特别漫画”成员,尤日·戈登和胡晓江等“特别漫画”成员,人物
ID_0012,2013中国现代水印版画文献展,活动
PERSON_陈,陈,人物
PERSON_瑞,瑞,人物
ID_0013,影像档案 第3回： “影像清教徒”——张小迪影像展,活动
PERSON_张小迪,张小迪,人物
ID_0014,2013中国现代水印版画文献展（2013.10.17—2013.10.28）,活动
ID_0015,漫出格——中德漫画交流展（2013.10.19—2013.11.18）,活动
