ID,活动时间,活动名称,活动职能,表现形式,学科媒介,活动组织类型,系列标签,活动性质1,活动性质2,活动性质3,活动领域,活动主题标签,活动地点,策划人
ID_0838,2015.04.28,“浪漫的相关性： 同一性的混搭”这是什么鬼？,其他,N/A,油画,独立活动,N/A,其他,N/A,油画,纯艺术,N/A,线上活动,作者:名侦探南美小白
ID_0839,2015.04.29,AMNUA资讯丨南艺美术馆荣获2014艺术财经“中国艺术权力榜”大奖,其他,N/A,影像,独立活动,N/A,其他,N/A,影像,纯艺术,N/A,学术报告厅,N/A
ID_0840,2015.04.30,AMNUA零方案丨双色球，让我们开出一个策展的浪漫或现实？,展览,线下展览,综合,系列活动,零方案,艺术展览,N/A,综合,跨学科/泛文化,N/A,0号展厅 (自动填充),N/A
ID_0841,2015.04.30,AMNUA投稿丨他是不是说出了你们的心声？,其他,N/A,摄影,独立活动,N/A,其他,N/A,摄影,纯艺术,N/A,N/A,作者:邢原嘉
ID_0842,2015.04.17—2015.05.10,AMNUA访谈丨苍鑫：在这个时代如果你是政治正确的话，就意味着你会有大量资本,其他,N/A,素描,独立活动,N/A,其他,N/A,素描,纯艺术,N/A,N/A,N/A
ID_0843,2015.05.02,天黑黑，落雨了！今天你去草莓high了吗？,其他,N/A,音乐,独立活动,N/A,其他,N/A,音乐,纯艺术,N/A,N/A,作者:南美小白
ID_0844,2015.05.04,AMNUA青年文化艺术沙龙｜剑道——炼心的艺术,讲座,专题讲座,综合,独立活动,N/A,学术讲座,N/A,综合,跨学科/泛文化,N/A,公共空间,N/A
ID_0845,2015.05.05,AMNUA对话丨缪晓春：最初想成为艺术家是因为南艺,讲座,专题讲座,影像,独立活动,N/A,学术讲座,N/A,影像,纯艺术,N/A,N/A,对谈人:缪晓春（艺术家 中央美术学院教授）
ID_0846,2015.05.05,AMNUA公教丨少儿活动：在现场。我们来素描（需报名）,公教,工作坊/导览,素描,独立活动,N/A,公共教育,N/A,素描,纯艺术,N/A,公共空间,N/A
ID_0847,2015.05.05,AMNUA讨论丨调查：你心目中最具艺术气息的服装品牌,其他,N/A,综合,独立活动,N/A,其他,N/A,综合,跨学科/泛文化,N/A,N/A,N/A
ID_0848,2015.05.06,AMNUA讲座丨文艺复兴的无限可能：从乔尔乔内或提香的《田园合奏》说起,讲座,专题讲座,综合,独立活动,N/A,学术讲座,N/A,综合,跨学科/泛文化,N/A,学术报告厅,主讲人:杨好
ID_0849,N/A,AMNUA资讯丨南艺2015毕业展时间表，2015.05.15开幕,展览,线下展览,设计,独立活动,N/A,艺术展览,N/A,设计,纯艺术,N/A,N/A,N/A
ID_0850,2015.04.17—2015.05.10,AMNUA访谈丨温凌：我想让大家仰着头，而不是低着头看漫画,其他,N/A,素描,独立活动,N/A,其他,N/A,素描,纯艺术,N/A,N/A,N/A
ID_0851,2015.05.07,AMNUA公教 | 与“虎妈猫爸”一起走进剑道！,公教,工作坊/导览,摄影,独立活动,N/A,公共教育,N/A,摄影,纯艺术,N/A,公共空间,主讲人:陈明智
ID_0852,2015.04.17—2015.05.10,AMNUA访谈丨刘小东：触碰你心灵最柔软的部分,其他,N/A,素描,独立活动,N/A,其他,N/A,素描,纯艺术,N/A,N/A,N/A
ID_0853,2015.05.08,AMNUA资讯丨第二届“紫金奖”文化创意设计大赛，30万大奖等你拿,其他,N/A,设计,独立活动,N/A,其他,N/A,设计,纯艺术,N/A,N/A,N/A
ID_0854,2015.05.08,AMNUA资讯丨威尼斯双年展爆丑闻，肯尼亚政府不承认其国家馆,展览,线下展览,综合,独立活动,N/A,艺术展览,N/A,综合,跨学科/泛文化,N/A,N/A,作者:迈克尔·索伊
ID_0855,2015.05.09,AMNUA威双专题丨威尼斯的婚礼，和中国人的份子钱,其他,N/A,综合,独立活动,N/A,其他,N/A,综合,跨学科/泛文化,N/A,N/A,N/A
ID_0856,2015.05.09,AMNUA杂谈丨迷路的威尼斯：宗教种族纷争下的悲喜人间,其他,N/A,综合,独立活动,N/A,其他,N/A,综合,跨学科/泛文化,N/A,N/A,作者:南美小白
ID_0857,2015.05.10,AMNUA母亲节专号丨妈妈，我不想只在今天说爱你,其他,N/A,综合,独立活动,N/A,其他,N/A,综合,跨学科/泛文化,N/A,N/A,作者:南美小白
ID_0858,2015.04.17—2015.05.10,AMNUA访谈丨秦琦：其实我更像一个学院派画家，我其实是这样的人,其他,N/A,素描,独立活动,N/A,其他,N/A,素描,纯艺术,N/A,N/A,N/A
ID_0859,2015.05.10,AMNUA母亲节专号丨王晓映：陆诚学画之肇始，就是自由的,其他,N/A,油画,独立活动,N/A,其他,N/A,油画,纯艺术,N/A,N/A,作者:王晓映
ID_0860,2015.05.10,AMNUA母亲节专号丨妈妈邵炳凤，和岳母邵炳凤,其他,N/A,水墨,独立活动,N/A,其他,N/A,水墨,纯艺术,N/A,N/A,N/A
ID_0861,2015.04.17—2015.05.10,AMNUA访谈丨郭强：一贫如洗，归乡情怯,其他,N/A,素描,独立活动,N/A,其他,N/A,素描,纯艺术,N/A,N/A,N/A
ID_0862,2015.04.17—2015.05.10,AMNUA访谈丨洪浩：因缘就势,其他,N/A,素描,独立活动,N/A,其他,N/A,素描,纯艺术,N/A,N/A,N/A
ID_0863,2015.05.12,AMNUA号外丨南艺毕业季布展第一天,展览,线下展览,综合,独立活动,N/A,艺术展览,N/A,综合,跨学科/泛文化,N/A,N/A,N/A
ID_0864,2015.05.13,AMNUA访谈丨杨好: 探讨文艺复兴的无限可能,其他,N/A,综合,独立活动,N/A,其他,N/A,综合,跨学科/泛文化,N/A,N/A,N/A
ID_0866,2015.04.17—2015.05.10,AMNUA访谈丨王华祥：我是一个特别愿意分享的人,其他,N/A,素描,独立活动,N/A,其他,N/A,素描,纯艺术,N/A,线上活动,N/A
ID_0867,2015.05.13,AMNUA号外丨毕业季布展经验分享,展览,线下展览,综合,独立活动,N/A,艺术展览,N/A,综合,跨学科/泛文化,N/A,N/A,N/A
ID_0868,2015.05.26—2015.06.03,AMNUA毕业展丨南艺2015服装毕业秀“探·秘”将于2015.05.22隆重登场,展览,线下展览,设计,独立活动,N/A,艺术展览,N/A,设计,纯艺术,N/A,N/A,N/A
ID_0869,2015.05.14,AMNUA毕业生丨美院国画鲁加鹏：不管怎样，多画画总归是好的,其他,N/A,综合,独立活动,N/A,其他,N/A,综合,跨学科/泛文化,N/A,N/A,作者:尚隐公司
ID_0870,2015.05.14,AMNUA毕业生丨美院插画陈泫樽：他眼里有雾,其他,N/A,综合,独立活动,N/A,其他,N/A,综合,跨学科/泛文化,N/A,N/A,作者:尚隐公司
ID_0871,2015.05.15,AMNUA毕业展丨南艺美术学院2015届毕业生作品展隆重开幕,展览,线下展览,油画,独立活动,N/A,艺术展览,N/A,油画,纯艺术,N/A,N/A,N/A
ID_0872,2015.05.15,AMNUA访谈丨章文浩：不要忘了自己最初对“真”的执着,其他,N/A,油画,独立活动,N/A,其他,N/A,油画,纯艺术,N/A,N/A,作者:尚隐公司
ID_0873,2015.05.15,AMNUA毕业生丨美院油画金上策：我也不知道该说些什么,其他,N/A,油画,独立活动,N/A,其他,N/A,油画,纯艺术,N/A,N/A,作者:尚隐公司
ID_0874,2015.05.15—2015.06.14,AMNUA资讯丨南艺美院毕业展，开幕人流量超一万五，毕业展期间周一不闭馆,展览,线下展览,油画,独立活动,N/A,艺术展览,N/A,油画,纯艺术,N/A,1号展厅,N/A
ID_0875,2015.05.16,AMNUA访谈丨孙胜银：每天要是不来，心里空落落的。,其他,N/A,雕塑,独立活动,N/A,其他,N/A,雕塑,纯艺术,N/A,公共空间,N/A
ID_0876,2015.05.16,AMNUA毕业生丨美院雕塑系吴线：乐在其中,其他,N/A,油画,独立活动,N/A,其他,N/A,油画,纯艺术,N/A,N/A,N/A
ID_0877,2015.05.17,AMNUA毕业展 | 南艺2015美院毕业展深度调查报告,展览,线下展览,油画,独立活动,N/A,艺术展览,N/A,油画,纯艺术,N/A,N/A,N/A
ID_0878,2015.04.17—2015.05.10,AMNUA访谈丨何持如:人心是丈量人身的尺度,其他,N/A,素描,独立活动,N/A,其他,N/A,素描,纯艺术,N/A,N/A,N/A
ID_0880,2015.05.18,AMNUA毕业生丨美院版画安沂南：走在南京的夜晚,其他,N/A,影像,独立活动,N/A,其他,N/A,影像,纯艺术,N/A,N/A,作者:尚隐公司
ID_0882,2015.05.19,AMNUA毕业季丨张放：南艺版画的传统会保持,其他,N/A,设计,独立活动,N/A,其他,N/A,设计,纯艺术,N/A,N/A,作者:尚隐公司
ID_0883,2015.05.20,AMNUA公教 | “豌豆先生”带着新绘本《我的第一套人生梦想书》来了！,公教,工作坊/导览,油画,独立活动,N/A,公共教育,N/A,油画,纯艺术,N/A,N/A,N/A
ID_0884,N/A,AMNUA毕业展丨南艺设计学院2015毕业展“实验•交叉”将于2015.05.2610:00开幕,展览,线下展览,设计,独立活动,N/A,艺术展览,N/A,设计,纯艺术,N/A,线上活动,N/A
ID_0885,2015.05.21,AMNUA毕业生丨美院版画孙文烨：我喜欢有力量的东西,其他,N/A,设计,独立活动,N/A,其他,N/A,设计,纯艺术,N/A,N/A,作者:尚隐公司
ID_0886,2015.05.22,AMNUA现场丨南艺2015毕业服装秀美图新鲜出炉，5点半加演一场！,艺术现场,演出/活动,摄影,独立活动,N/A,艺术现场,N/A,摄影,纯艺术,N/A,N/A,N/A
ID_0887,2015.05.22,AMNUA公教 | 豌豆先生：不迷恋技巧的绘画更容易接近内心,公教,工作坊/导览,动画,独立活动,N/A,公共教育,N/A,动画,纯艺术,N/A,N/A,N/A
ID_0888,2015.05.23,AMNUA访谈丨彼得·威金对话郑闻：不喜欢我的，都是死人,讲座,专题讲座,设计,独立活动,N/A,学术讲座,N/A,设计,纯艺术,N/A,线上活动,N/A
ID_0889,2015.05.23,AMNUA毕业生丨美院油画青云戈：需要时间证明的，就不要浪费时间去说了,其他,N/A,油画,独立活动,N/A,其他,N/A,油画,纯艺术,N/A,N/A,作者:尚隐公司
ID_0890,2015.05.23,AMNUA广告丨不落幕的移动毕业秀场,其他,N/A,设计,独立活动,N/A,其他,N/A,设计,纯艺术,N/A,线上活动,N/A
ID_0891,2015.05.26—2015.06.03,AMNUA毕业展丨设院图媒毕设：综合媒体实验作品《苏州园林》,展览,线下展览,影像,独立活动,N/A,艺术展览,N/A,影像,纯艺术,N/A,"4号展厅, 公共空间",作者:顾颖; 作者:吴宜霖; 作者:张惠; 作者:徐子懿; 作者:蔡珍珠; 作者:张梦岑; 作者:陈叶; 作者:陈叶; 作者:王俊; 作者:曾欣媛; 作者:练凌飞
ID_0892,2015.05.24,AMNUA毕业生丨美院壁画白彧：独行路，当风雨兼程,其他,N/A,油画,独立活动,N/A,其他,N/A,油画,纯艺术,N/A,N/A,作者:尚隐公司
