活动名称,艺术总监,策展人,参与人员,观众类型
Welcome to AMNUA,N/A,N/A,N/A,大众
“水墨档案 第一回——中韩当代水墨邀请展”今日开展,陈健,陈健; 陈瑞; 李小山,靳卫红（著名当代水墨艺术家，《画刊》杂志主编）; 张正民（著名当代水墨艺术家，《画刊》杂志副主编）,大众
影像档案 第二回：陆扬MV——善恶彼岸的影像,N/A,郑闻,N/A,大众
零方案 第四回：剩余物nán jīng（2013.09.08—2013.09.27）,N/A,N/A,N/A,大众
“伟大的素描·与大师同行”（2013.09.18—2013.11.20）&amp;“素描·表达与限度”（2013.09.18—2013.10.10）,李小山,王亚敏,N/A,大众
陆扬：《子宫战士》首映暨新书发布,N/A,N/A,N/A,大众
青年文化艺术沙龙： “再不远行就老了“——南京女孩王泓人21个月穷游亚非27国,N/A,N/A,旅游达人（骑行穿越青藏高原）何谦、南京电视台十八频道标点旅游节目主持人周靖; 王泓人/栙魂（《再不远行就老了》作者、新浪旅游微访谈嘉宾）,学术/爱好者
漫出格——中德漫画交流展,N/A,N/A,N/A,大众
“伟大的素描·与大师同行”（2013.09.18—2013.11.20）&amp;“素描·表达与限度”（2013.09.18—2013.10.19）,李小山,王亚敏,N/A,大众
“漫出格——中德漫画交流展”学术延伸活动,N/A,N/A,安可·弗西滕贝格教授; 沙夏·霍姆、尤日·戈登和胡晓江等“特别漫画”成员,学术/专业人士
2013中国现代水印版画文献展,N/A,李小山; 陈 瑞,N/A,大众
影像档案 第3回： “影像清教徒”——张小迪影像展,N/A,郑闻,张小迪,大众
2013中国现代水印版画文献展（2013.10.17—2013.10.28）,N/A,李小山; 陈 瑞,N/A,大众
漫出格——中德漫画交流展（2013.10.19—2013.11.18）,N/A,N/A,N/A,大众
影像档案 第3回： “影像清教徒”——张小迪影像展（2013.10.22—2013.11.14）,N/A,郑闻,张小迪,大众
“素描·表达与限度” 策展人线上导览（一）,N/A,王亚敏,N/A,大众
“素描·表达与限度” 策展人线上导览（二）,N/A,王亚敏,N/A,大众
“素描·表达与限度” 策展人线上导览（三）,N/A,王亚敏,N/A,大众
素描展讲座：智性与艺术——论文艺复兴时期的disegno观念,N/A,N/A,N/A,大众
影像档案第4回 一部中国当代艺术的口述史：对话威尼斯（2013.11.15—2013.12.20）,N/A,郑闻,温成,学术/专业人士
天道酬勤——周积寅教授75华诞、从艺55周年书画展（2013.11.16—2013.11.20）,N/A,N/A,N/A,大众
“时区·当代高校青年教师的创作于探索” 第一单元：惯性翻转,N/A,郑闻,敖国兴 罗丹 裴丽 沈朝方 陶大珉 熊莉钧 汪莺莺）; 敖国兴、罗丹、裴丽、沈朝方、陶大珉、熊莉钧、汪莺莺、陈献辉、李青、梁 昊鹏、韩建宇、吴俊勇、秦晋、靳山、高昊、何玲、康海涛、宋振、阎盈汐、 王郁洋、周先锋、丛伟、冯且、和丽斌、邬建安、王超、吴超、张月,大众
“时区·当代高校青年教师的创作于探索” 第二单元：形式发问,N/A,郑闻,敖国兴、罗丹、裴丽、沈朝方、陶大珉、熊莉钧、汪莺莺、陈献辉、李青、梁昊鹏、韩建宇、吴俊勇、秦晋、靳山、高昊、何玲、康海涛、宋振、阎盈汐、王郁洋、周先锋、丛伟、冯且、和丽斌、邬建安、王超、吴超、张月; 陈献辉 李青 梁昊鹏 韩建宇 吴俊勇 秦晋 靳山）,大众
