维度二：系列与空间 清理报告
--------------------------------------------------
已删除的预告及回顾类条目：
ID_0055 | 【学术回顾】“多重的自在”：王璜生教授对谈
ID_0056 | 【公教回顾】“非常体验——手工印相工作坊”
ID_0058 | 【项目回顾】零方案：转塘拆迁区驻地创作计划
ID_0072 | 【公教回顾】非常体验——丝网印刷工作坊
ID_0088 | 【公教回顾】“复调II”：定格的记忆
ID_0096 | 【公教回顾】“复调II”：微观的神奇世界
ID_0118 | 【公教回顾】复古不死，时尚永存
ID_0119 | 【公教回顾】非常体验——范戴克法古法印相
ID_0123 | 【公教回顾】“复调II”：奇遇泥塑
ID_0127 | 【公教回顾】讲座“玩乐之地”，Let’s play！
ID_0134 | 【公教回顾】“复调II”闭幕：最后的狂欢
ID_0142 | 【公教回顾】Laurent-Max De Cock：心手之间
ID_0146 | 【活动回顾】美术馆万圣夜
ID_0158 | 【公教回顾】拼布工作坊
ID_0167 | 【公教回顾】“喜物会”妙趣横生
ID_0185 | 【公教回顾】《我为歌狂》&amp;《十万个冷笑话》动画导演搞怪来袭！
ID_0188 | 【公教回顾】少儿活动：“寻找遗失的城堡”
ID_0209 | 【公教回顾】少儿活动：小小火柴人
ID_0245 | 【活动回顾】AMNUA两周年：来美术馆看一场秀
ID_0398 | 【公教回顾】版画工作坊 &amp; 插画工作坊
ID_0433 | 【公教回顾】陶瓷“变变变”
ID_0439 | 【公教回顾】豌豆老师：“找到你的帽子”
ID_0443 | 【公教回顾】青少年人文启蒙项目：走进艺术史之文艺复兴
ID_0451 | 【公教回顾】Salsa舞工作坊 第三期
ID_0456 | 【公教回顾】大脸画：课堂中的“偶像”
ID_0473 | 【公教回顾】国学堂：“百善孝为先”母亲节亲子活动
ID_0474 | 【艺术新闻】2014米兰设计周经典回顾
ID_0488 | 【公教回顾】“你好！美术馆”——“红墙”下的自由弹唱会
ID_0574 | 【学术回顾】“多重的自在”：王璜生教授对谈
ID_0575 | 【公教回顾】“非常体验——手工印相工作坊”
ID_0577 | 【项目回顾】零方案：转塘拆迁区驻地创作计划
ID_0592 | 【公教回顾】非常体验——丝网印刷工作坊
ID_0608 | 【公教回顾】“复调II”：定格的记忆
ID_0616 | 【公教回顾】“复调II”：微观的神奇世界
ID_0637 | 【公教回顾】复古不死，时尚永存
ID_0638 | 【公教回顾】非常体验——范戴克法古法印相
ID_0641 | 【公教回顾】“复调II”：奇遇泥塑
ID_0645 | 【公教回顾】讲座“玩乐之地”，Let’s play！
ID_0652 | 【公教回顾】“复调II”闭幕：最后的狂欢
ID_0660 | 【公教回顾】Laurent-Max De Cock：心手之间
ID_0664 | 【活动回顾】美术馆万圣夜
ID_0676 | 【公教回顾】拼布工作坊
ID_0685 | 【公教回顾】“喜物会”妙趣横生
ID_0703 | 【公教回顾】《我为歌狂》&amp;《十万个冷笑话》动画导演搞怪来袭！
ID_0706 | 【公教回顾】少儿活动：“寻找遗失的城堡”
ID_0727 | 【公教回顾】少儿活动：小小火柴人
ID_0761 | 【活动回顾】AMNUA两周年：来美术馆看一场秀
ID_1072 | “捉妖”不易，比特效更闪耀的是艺术人的认真态度丨AMNUA公教回顾
ID_1082 | 希望大家看见虫子，不再是踩一脚，而是say个hi丨AMNUA讲座回顾
ID_1126 | 做事情本身：谈机构作为一种艺术实践丨AMNUA公教回顾
ID_1138 | 饮食之欲和男女之情是两种高潮by欧阳应霁丨AMNUA活动回顾
ID_1141 | 莹莹木片，暖暖微光：“木遇光影”活动回顾丨AMNUA少儿公教
ID_1165 | AMNUA摄影公教2015.12.05课程回顾
ID_1192 | 让我们升华一下革命友谊丨AMNUA三周年回顾
ID_1300 | 《肖恩·斯库利：抵抗与坚持》导览活动回顾丨AMNUA现场
ID_1319 | 身体的观迹 · 现代舞工作坊回顾丨AMNUA公教
ID_1457 | marbling ？夢廠DREAMER FTY 的“u-to-pia”丨AMNUA公教回顾
