ID,活动名称,活动性质3,策划人,协办方/承办方,文化溯源分类,地理辐射能级
ID_0001,Welcome to AMNUA,油画,N/A,,西方架上,本土级
ID_0002,“水墨档案 第一回——中韩当代水墨邀请展”今日开展,水墨,策展人:陈健;林福顺（韩国）; 策展人:陈瑞; 学术主持:李小山; 出品人:陈健; 主讲人:张正民（著名当代水墨艺术家，《画刊》杂志副主编）; 主讲人:靳卫红（著名当代水墨艺术家，《画刊》杂志主编）,,东方本土,国际级
ID_0003,影像档案 第二回：陆扬MV——善恶彼岸的影像,影像,策展人:郑闻,,全球化语境,本土级
ID_0004,零方案 第四回：剩余物nán jīng（2013.09.08—2013.09.27）,综合,N/A,南京艺术学院美术馆,混合/其他,本土级
ID_0006,“伟大的素描·与大师同行”（2013.09.18—2013.11.20）&amp;“素描·表达与限度”（2013.09.18—2013.10.10）,影像,策展人:王亚敏; 出品人:李小山,,全球化语境,本土级
ID_0007,陆扬：《子宫战士》首映暨新书发布,影像,N/A,,全球化语境,本土级
ID_0008,青年文化艺术沙龙： “再不远行就老了“——南京女孩王泓人21个月穷游亚非27国,综合,主讲人:王泓人/栙魂（《再不远行就老了》作者、新浪旅游微访谈嘉宾）; 嘉宾:旅游达人（骑行穿越青藏高原）何谦、南京电视台十八频道标点旅游节目主持人周靖,,混合/其他,本土级
ID_0009,漫出格——中德漫画交流展,影像,N/A,歌德学院（中国）;南京艺术学院美术馆;南京艺术学院传媒学院 / 特别漫画（Special;Comix）;Orang,全球化语境,国际级
ID_0010,“伟大的素描·与大师同行”（2013.09.18—2013.11.20）&amp;“素描·表达与限度”（2013.09.18—2013.10.19）,影像,策展人:王亚敏; 出品人:李小山,,全球化语境,本土级
ID_0011,“漫出格——中德漫画交流展”学术延伸活动,漫画,嘉宾:安可·弗西滕贝格教授; 嘉宾:沙夏·霍姆、尤日·戈登和胡晓江等“特别漫画”成员,歌德学院（中国）;南京艺术学院美术馆;南京艺术学院传媒学院 / 特别漫画（Special;Comix）;Orang,混合/其他,国际级
ID_0012,2013中国现代水印版画文献展,木刻,策展人:李小山; 展览执行:陈 瑞,南京艺术学院美术学院、南京艺术学院美术馆 / 中国美术家协会版画艺委会、江苏省美术家协会、南京艺术学院、中国水印版画艺术研究中心,混合/其他,国际级
ID_0013,影像档案 第3回： “影像清教徒”——张小迪影像展,影像,策展人:郑闻; 艺术家:张小迪; 艺术家:张小迪,,全球化语境,本土级
ID_0014,2013中国现代水印版画文献展（2013.10.17—2013.10.28）,木刻,策展人:李小山; 展览执行:陈 瑞,南京艺术学院美术学院、南京艺术学院美术馆 / 中国美术家协会版画艺委会、江苏省美术家协会、南京艺术学院、中国水印版画艺术研究中心,混合/其他,国际级
ID_0015,漫出格——中德漫画交流展（2013.10.19—2013.11.18）,影像,N/A,歌德学院（中国）;南京艺术学院美术馆;南京艺术学院传媒学院 / 特别漫画（Special;Comix）;Orang,全球化语境,国际级
ID_0016,影像档案 第3回： “影像清教徒”——张小迪影像展（2013.10.22—2013.11.14）,影像,策展人:郑闻; 艺术家:张小迪,,全球化语境,本土级
ID_0018,“素描·表达与限度” 策展人线上导览（一）,影像,策展人:王亚敏,,全球化语境,本土级
ID_0019,“素描·表达与限度” 策展人线上导览（二）,素描,策展人:王亚敏,,西方架上,本土级
ID_0020,“素描·表达与限度” 策展人线上导览（三）,素描,策展人:王亚敏,,西方架上,本土级
ID_0021,素描展讲座：智性与艺术——论文艺复兴时期的disegno观念,素描,N/A,南京艺术学院美术馆,西方架上,本土级
ID_0022,影像档案第4回 一部中国当代艺术的口述史：对话威尼斯（2013.11.15—2013.12.20）,影像,策展人:郑闻; 策展人:郑闻; 艺术家:温成; 艺术家:温成,,全球化语境,本土级
ID_0023,天道酬勤——周积寅教授75华诞、从艺55周年书画展（2013.11.16—2013.11.20）,综合,N/A,,混合/其他,本土级
ID_0024,“时区·当代高校青年教师的创作于探索” 第一单元：惯性翻转,影像,策展人:郑闻; 艺术家:敖国兴 罗丹 裴丽 沈朝方 陶大珉 熊莉钧 汪莺莺）; 艺术家:敖国兴、罗丹、裴丽、沈朝方、陶大珉、熊莉钧、汪莺莺、陈献辉、李青、梁 昊鹏、韩建宇、吴俊勇、秦晋、靳山、高昊、何玲、康海涛、宋振、阎盈汐、 王郁洋、周先锋、丛伟、冯且、和丽斌、邬建安、王超、吴超、张月; 艺术家:敖国兴、罗丹、裴丽、沈朝方、陶大珉、熊莉钧、汪莺莺、陈献辉、李青、梁 昊鹏、韩建宇、吴俊勇、秦晋、靳山、高昊、何玲、康海涛、宋振、阎盈汐、 王郁洋、周先锋、丛伟、冯且、和丽斌、邬建安、王超、吴超、张月,,全球化语境,本土级
ID_0025,“时区·当代高校青年教师的创作于探索” 第二单元：形式发问,影像,策展人:郑闻; 艺术家:陈献辉 李青 梁昊鹏 韩建宇 吴俊勇 秦晋 靳山）; 艺术家:敖国兴、罗丹、裴丽、沈朝方、陶大珉、熊莉钧、汪莺莺、陈献辉、李青、梁昊鹏、韩建宇、吴俊勇、秦晋、靳山、高昊、何玲、康海涛、宋振、阎盈汐、王郁洋、周先锋、丛伟、冯且、和丽斌、邬建安、王超、吴超、张月; 艺术家:敖国兴、罗丹、裴丽、沈朝方、陶大珉、熊莉钧、汪莺莺、陈献辉、李青、梁昊鹏、韩建宇、吴俊勇、秦晋、靳山、高昊、何玲、康海涛、宋振、阎盈汐、王郁洋、周先锋、丛伟、冯且、和丽斌、邬建安、王超、吴超、张月,,全球化语境,本土级
ID_0026,“时区·当代高校青年教师的创作于探索” 第三单元：媒介冷暖,影像,策展人:郑闻; 艺术家:高昊 何玲 康海涛 宋振 阎盈汐 王郁洋 周先锋）; 艺术家:敖国兴、罗丹、裴丽、沈朝方、陶大珉、熊莉钧、汪莺莺、陈献辉、李青、梁昊鹏、韩建宇、吴俊勇、秦晋、靳山、高昊、何玲、康海涛、宋振、阎盈汐、王郁洋、周先锋、丛伟、冯且、和丽斌、邬建安、王超、吴超、张月; 艺术家:敖国兴、罗丹、裴丽、沈朝方、陶大珉、熊莉钧、汪莺莺、陈献辉、李青、梁昊鹏、韩建宇、吴俊勇、秦晋、靳山、高昊、何玲、康海涛、宋振、阎盈汐、王郁洋、周先锋、丛伟、冯且、和丽斌、邬建安、王超、吴超、张月,,全球化语境,本土级
ID_0027,“时区·当代高校青年教师的创作于探索” 第四单元：智性之桥,影像,策展人:郑闻; 艺术家:丛伟 冯且 和丽斌 邬建安 王超 吴超 张月）; 艺术家:敖国兴、罗丹、裴丽、沈朝方、陶大珉、熊莉钧、汪莺莺、陈献辉、李青、梁昊鹏、韩建宇、吴俊勇、秦晋、靳山、高昊、何玲、康海涛、宋振、阎盈汐、王郁洋、周先锋、丛伟、冯且、和丽斌、邬建安、王超、吴超、张月; 艺术家:敖国兴、罗丹、裴丽、沈朝方、陶大珉、熊莉钧、汪莺莺、陈献辉、李青、梁昊鹏、韩建宇、吴俊勇、秦晋、靳山、高昊、何玲、康海涛、宋振、阎盈汐、王郁洋、周先锋、丛伟、冯且、和丽斌、邬建安、王超、吴超、张月,,全球化语境,本土级
ID_0028,“时区·当代高校青年教师的创作与探索”今日开幕！,综合,策展人:郑闻; 策展人:郑闻; 艺术家:敖国兴、罗丹、裴丽、沈朝方、陶大珉、熊莉钧、汪莺莺、陈献辉、李青、梁昊鹏、韩建宇、吴俊勇、秦晋、靳山、高昊、何玲、康海涛、宋振、阎盈汐、王郁洋、周先锋、丛伟、冯且、和丽斌、邬建安、王超、吴超、张月; 艺术家:敖国兴、罗丹、裴丽、沈朝方、陶大珉、熊莉钧、汪莺莺、陈献辉、李青、梁昊鹏、韩建宇、吴俊勇、秦晋、靳山、高昊、何玲、康海涛、宋振、阎盈汐、王郁洋、周先锋、丛伟、冯且、和丽斌、邬建安、王超、吴超、张月,,混合/其他,本土级
ID_0029,“时区”展学术活动：从《宫乐图》到《南国少将的早餐》——沈朝方影展及对谈,影像,策展人:郑闻; 主讲人:沈朝方; 嘉宾:曹恺、沈晓平; 艺术家:敖国兴、罗丹、裴丽、沈朝方、陶大珉、熊莉钧、汪莺莺、陈献辉、李青、梁昊鹏、韩建宇、吴俊勇、秦晋、靳山、高昊、何玲、康海涛、宋振、阎盈汐、王郁洋、周先锋、丛伟、冯且、和丽斌、邬建安、王超、吴超、张月; 艺术家:敖国兴、罗丹、裴丽、沈朝方、陶大珉、熊莉钧、汪莺莺、陈献辉、李青、梁昊鹏、韩建宇、吴俊勇、秦晋、靳山、高昊、何玲、康海涛、宋振、阎盈汐、王郁洋、周先锋、丛伟、冯且、和丽斌、邬建安、王超、吴超、张月,,全球化语境,本土级
ID_0030,“弗朗西斯·培根中国首展” 2013.12.02下午3点亮相南艺美术馆！,素描,策展人:王亚敏; 出品人:李小山,南京艺术学院美术馆,西方架上,本土级
ID_0031,“时区展”公共教育之少儿活动“What&#39;s this?”&quot;It&#39;s a ....&quot;（2013.12.01 10:00am）,影像,N/A,,全球化语境,本土级
ID_0032,“时·区”展学术讲座： “当代青年艺术的研究策展与收藏”（2013.11.28 14:00）,综合,策展人:郑闻; 艺术家:敖国兴、罗丹、裴丽、沈朝方、陶大珉、熊莉钧、汪莺莺、陈献辉、李青、梁昊鹏、韩建宇、吴俊勇、秦晋、靳山、高昊、何玲、康海涛、宋振、阎盈汐、王郁洋、周先锋、丛伟、冯且、和丽斌、邬建安、王超、吴超、张月; 艺术家:敖国兴、罗丹、裴丽、沈朝方、陶大珉、熊莉钧、汪莺莺、陈献辉、李青、梁昊鹏、韩建宇、吴俊勇、秦晋、靳山、高昊、何玲、康海涛、宋振、阎盈汐、王郁洋、周先锋、丛伟、冯且、和丽斌、邬建安、王超、吴超、张月,,混合/其他,本土级
ID_0034,弗兰西斯·培根：“有史以来最伟大的画家之一”（培根中国首展：2013.12.02@AMNUA）,综合,策展人:王亚敏; 出品人:李小山,南京艺术学院美术馆,混合/其他,本土级
ID_0035,“弗兰西斯·培根中国首展”今日开幕！贝瑞·焦尔将向南艺美术馆捐赠培根原作。,素描,策展人:王亚敏; 出品人:李小山,南京艺术学院美术馆,西方架上,本土级
ID_0036,展出ING：“弗朗西斯·培根中国首展”@南艺美术馆（2013.12.02—2013.01.06）,综合,策展人:王亚敏; 出品人:李小山,,混合/其他,本土级
ID_0037,世界美术馆之旅：布赫海姆美术馆——史达恩堡湖畔的德国表现主义收藏,油画,N/A,,西方架上,本土级
ID_0038,“时区——当代高校青年教师的创作与探索”  策展人导览（一）,综合,策展人:郑闻; 策展人:郑闻; 策展人:郑闻; 艺术家:敖国兴、罗丹、裴丽、沈朝方、陶大珉、熊莉钧、汪莺莺、陈献辉、李青、梁昊鹏、韩建宇、吴俊勇、秦晋、靳山、高昊、何玲、康海涛、宋振、阎盈汐、王郁洋、周先锋、丛伟、冯且、和丽斌、邬建安、王超、吴超、张月; 艺术家:敖国兴、罗丹、裴丽、沈朝方、陶大珉、熊莉钧、汪莺莺、陈献辉、李青、梁昊鹏、韩建宇、吴俊勇、秦晋、靳山、高昊、何玲、康海涛、宋振、阎盈汐、王郁洋、周先锋、丛伟、冯且、和丽斌、邬建安、王超、吴超、张月,,混合/其他,本土级
ID_0039,南艺美术馆一周年：“第五届刮刀音乐节”（2013.12.212:2013.00.10:00pm）,音乐,出品人:李小山;林书传,南京艺术学院流行音乐学院 / 南京艺术学院美术馆;迷路手册,混合/其他,本土级
ID_0040,南京·当代剧场青年邀请周（2013.12.24—2013.12.28）,剧场,嘉宾:王墨林 台湾资深小剧场工作者，剧评家,,混合/其他,本土级
ID_0041,“第五届刮刀音乐节”在南艺美术馆圆满举办！,摄影,N/A,,混合/其他,本土级
ID_0042,零度艺评：《看热闹还是看门道：从南艺美术馆的“培根展”谈起  》,综合,作者:郑闻,,混合/其他,本土级
ID_0043,世界美术馆之旅：古埃及艺术与当代艺术的展示——拜仁州立埃及艺术博物馆,设计,作者:张昭,,混合/其他,本土级
ID_0044,思想剧场：素描的观念——中德艺术对谈,素描,嘉宾:**; 作者:郑闻,,西方架上,本土级
ID_0045,馆长声音：“培根中国首展：没有代表作就不是好画展吗？”——李小山,综合,作者:北京青年报,,混合/其他,本土级
ID_0046,艺术世界：亚洲文化艺术的当代呈现——大英博物馆亚洲部主任施美茵讲座,设计,N/A,,混合/其他,本土级
ID_0047,思想剧场：《暴力与科幻交错的景观——中国城市雕塑漫谈》,雕塑,作者:郑闻,,混合/其他,本土级
ID_0048,馆长声音：《周春芽：把艺术当做他的幸福之源》——李小山,综合,N/A,,混合/其他,本土级
