年份,月份,发帖量(条),阅读量,平均阅读量/帖
2013,09月,6,1244,207.3
2013,10月,9,145,16.1
2013,11月,16,245,15.3
2013,12月,8,137,17.1
2013,全年合计,**39**,**1771**,**45.4**
2014,01月,7,181,25.9
2014,02月,2,264,132.0
2014,03月,1,401,401.0
2014,04月,58,3678,63.4
2014,05月,61,3846,63.0
2014,06月,22,3090,140.5
2014,07月,8,5097,637.1
2014,08月,6,7249,1208.2
2014,09月,72,56333,782.4
2014,10月,68,36342,534.4
2014,11月,76,60962,802.1
2014,12月,65,43817,674.1
2014,全年合计,**446**,**221260**,**496.1**
2015,01月,17,13655,803.2
2015,02月,6,6324,1054.0
2015,03月,58,77868,1342.6
2015,04月,86,88454,1028.5
2015,05月,124,220925,1781.7
2015,06月,59,53851,912.7
2015,07月,26,26617,1023.7
2015,08月,21,28955,1378.8
2015,09月,43,66906,1556.0
2015,10月,58,80888,1394.6
2015,11月,29,75000,2586.2
2015,12月,45,105783,2350.7
2015,全年合计,**572**,**845226**,**1477.7**
2016,01月,31,60326,1946.0
2016,02月,11,11911,1082.8
2016,03月,43,32146,747.6
2016,04月,38,43600,1147.4
2016,05月,27,65188,2414.4
2016,06月,36,47847,1329.1
2016,07月,20,16041,802.0
2016,08月,19,17486,920.3
2016,09月,59,53369,904.6
2016,10月,46,55290,1202.0
2016,11月,35,34865,996.1
2016,12月,37,36296,981.0
2016,全年合计,**402**,**474365**,**1180.0**
2017,01月,10,15525,1552.5
2017,02月,20,22067,1103.3
2017,03月,44,45385,1031.5
2017,04月,42,54752,1303.6
2017,05月,41,55033,1342.3
2017,06月,39,63611,1631.1
2017,07月,21,35548,1692.8
2017,08月,3,9513,3171.0
2017,09月,30,43693,1456.4
2017,10月,29,47329,1632.0
2017,11月,27,37367,1384.0
2017,12月,27,49692,1840.4
2017,全年合计,**333**,**479515**,**1440.0**
2018,01月,16,15143,946.4
2018,02月,2,9284,4642.0
2018,03月,25,42329,1693.2
2018,04月,34,44093,1296.9
2018,05月,19,29237,1538.8
2018,06月,11,14385,1307.7
2018,07月,8,8025,1003.1
2018,08月,8,12728,1591.0
2018,09月,24,26163,1090.1
2018,10月,36,38008,1055.8
2018,11月,20,19601,980.0
2018,12月,21,26806,1276.5
2018,全年合计,**224**,**285802**,**1275.9**
2019,01月,14,17222,1230.1
2019,02月,1,963,963.0
2019,03月,26,41956,1613.7
2019,04月,33,90689,2748.2
2019,05月,21,34584,1646.9
2019,06月,17,24455,1438.5
2019,07月,4,7499,1874.8
2019,09月,12,17583,1465.2
2019,10月,18,34825,1934.7
2019,11月,17,27175,1598.5
2019,12月,16,20291,1268.2
2019,全年合计,**179**,**317242**,**1772.3**
2020,01月,6,9043,1507.2
2020,02月,1,632,632.0
2020,03月,6,4443,740.5
2020,04月,6,5998,999.7
2020,05月,14,10803,771.6
2020,06月,6,6357,1059.5
2020,07月,9,19107,2123.0
2020,08月,3,5608,1869.3
2020,09月,13,18729,1440.7
2020,10月,10,14130,1413.0
2020,11月,13,27631,2125.5
2020,12月,17,44942,2643.6
2020,全年合计,**104**,**167423**,**1609.8**
2021,01月,4,3984,996.0
2021,02月,1,562,562.0
2021,03月,17,34395,2023.2
2021,04月,20,44024,2201.2
2021,05月,11,14021,1274.6
2021,06月,14,20139,1438.5
2021,07月,8,6528,816.0
2021,08月,4,1940,485.0
2021,09月,15,13647,909.8
2021,10月,14,15444,1103.1
2021,11月,21,49493,2356.8
2021,12月,19,31428,1654.1
2021,全年合计,**148**,**235605**,**1591.9**
2022,01月,10,10627,1062.7
2022,02月,5,3741,748.2
2022,03月,9,10411,1156.8
2022,05月,8,11073,1384.1
2022,06月,17,17599,1035.2
2022,07月,2,2400,1200.0
2022,08月,2,3167,1583.5
2022,09月,16,23604,1475.2
2022,10月,8,15088,1886.0
2022,11月,20,27018,1350.9
2022,12月,1,392,392.0
2022,全年合计,**98**,**125120**,**1276.7**
2023,02月,1,405,405.0
2023,03月,23,21873,951.0
2023,04月,34,44713,1315.1
2023,05月,22,32634,1483.4
2023,06月,20,23383,1169.2
2023,07月,3,3453,1151.0
2023,09月,13,28009,2154.5
2023,10月,13,19588,1506.8
2023,11月,19,26017,1369.3
2023,12月,27,52294,1936.8
2023,全年合计,**175**,**252369**,**1442.1**
2024,01月,18,24926,1384.8
2024,02月,11,12801,1163.7
2024,03月,24,44585,1857.7
2024,04月,17,25634,1507.9
2024,05月,20,49535,2476.8
2024,06月,24,41004,1708.5
2024,07月,9,6865,762.8
2024,08月,5,6394,1278.8
2024,09月,6,12002,2000.3
2024,10月,34,37347,1098.4
2024,11月,31,58820,1897.4
2024,12月,43,39412,916.6
2024,全年合计,**242**,**359325**,**1484.8**
2025,01月,11,10976,997.8
2025,02月,10,5914,591.4
2025,03月,21,18256,869.3
2025,04月,24,19743,822.6
2025,05月,19,37066,1950.8
2025,06月,22,46547,2115.8
2025,07月,6,7267,1211.2
2025,08月,2,5320,2660.0
2025,09月,17,17984,1057.9
2025,10月,23,15484,673.2
2025,11月,21,28927,1377.5
2025,12月,14,17554,1253.9
2025,全年合计,**190**,**231038**,**1216.0**
2026,01月,3,1894,631.3
2026,02月,1,1620,1620.0
2026,03月,15,16312,1087.5
2026,全年合计,**19**,**19826**,**1043.5**
